Author,Rating,Title,Body
Placeholder,5,5.0 out of 5 starsValue for money. Good quality. Easy to use and carry. Long battery life.,"it is pocket-sized so it is easy to carry and portable.It is bright enough for emergency uses, night walks, emergency light use.The focus of the main torch light is good enough for emergency uses and night walks.It offers decent value for money.it is easy to use as you dont have to replace the cells as frequently because it comes with a rechargeable built-in battery and can last a week of emergency use on a single full charge or can last easily around two months on occasional uses on a single full charge.The body of this torch is plastic.The plus-point of this specific model is that you can place it on a table as an emergency light as it has three stands around the main light."
Gourab kumar,4,4.0 out of 5 starsIt is smaal in size but good in light,Good light recommended for who want pocket torch with good light
S s kumar,5,5.0 out of 5 starsWorth money/beam and brightness,I will give 5 star for this product..Outstanding .Small and fit.Brightness is more compare to its size.Spend and convineint charging .Hats of for Eveready. Money tat worth. Atleast company thinks we should give worth product to customers. Overall evryone should buy .
Placeholder,5,5.0 out of 5 starsBest Quality Product,Best quality product with long range and lighting modes and is portable with low price.
Dipayan saha,3,3.0 out of 5 starsBattery backup low.,Light quality is good but battery backup is low quality.
Ak,5,5.0 out of 5 starsSmall but effective,"Very good beam and side light ,good quality at this price meets the requirements."
Rohit,4,4.0 out of 5 starsSmall size and decent lighting,"Small size, rechargeable, branded torch that’s just perfect for mild personal use. Can be charged with any micro USB charger. Battery backup and product quality is  decent. Looks cute."
SAI KRISHNA,5,5.0 out of 5 starsGood product,Nice light throw and good battery backup comes around 1.5 hours and pocket friendly item good for normal use
nishant,4,4.0 out of 5 starsGood one,"Good and cute, my daughter happy to have her personal touch for her small tent house."
varsha singh,4,4.0 out of 5 starsVery good,Good prodect
shivam,4,4.0 out of 5 starsGo for it,"Useful, good battery life , light weight"
sohel japanwala,5,5.0 out of 5 starsworth every penny.,"It is a versatile product.The design has been well though over.1. The edges are angular that ensure it doesn't roll over when you place it on a surface.2. The tube mode can be used by placing it vertically. The stand like design on the bottom serves well for this purpose.3. The best part is the clip on its side which helps hands free usage. It can be clipped onto your shirt etc.  I, honestly, use it as a reading light in this fashion.4. The button is pretty large and sturdy.The built seems super sturdy.It is super bright in both modes and covers a good enough area.Overall good value of money."
prabhakar,5,5.0 out of 5 starsEssential item for every household,Though very small it serves the purpose a basic simple emergency torch light
Veeru,4,4.0 out of 5 starsSuper power,Super
Kalai,5,5.0 out of 5 stars👍,Very nice
Krishnapriya,5,5.0 out of 5 starsFor Emergency very Good,Very Good
VSN,5,5.0 out of 5 starsGood pocket size,Good
Mangesh chandrakant surve,5,5.0 out of 5 starsGood,Nice & exlent
Himanshu katiyar,3,3.0 out of 5 starsEverest brother product price too high,To costly product
Saqib khan,5,5.0 out of 5 starsNice product,Very nice product
Iliyas,3,3.0 out of 5 starsNice,Working on
Ajay Bera,4,4.0 out of 5 starsGood quality,Quality is very good and it is cheaper than retailer shop in my locality.
