Author,Rating,Title,Date,Body
"sanjay kumar, Birpur",5.0 out of 5 stars,5.0•Perfect product!,"Reviewed in India on · Sep, 2024",Good Product.Light is good. Price fluctuations are too much. Buy when price goes down
"Suvendu  Dhara, Hugli District",5.0 out of 5 stars,5.0•Terrific,"Reviewed in India on · Dec, 2024",This  product is  is good but  don't  rely on reviews. They don't  publish  negative reviews. I have  personal experience.
"santosh kumar, Muzaffarpur",4.0 out of 5 stars,4.0•Really Nice,"Reviewed in India on · Jun, 2024",Nice
"Ranji Gill, Amritsar District",3.0 out of 5 stars,3.0•Good,Reviewed in India on · 9 months ago,Nice product but batterylife is soo small
"MD ALI REZA, Kolkata",5.0 out of 5 stars,5.0•Mind-blowing purchase,"Reviewed in India on · Aug, 2024",Very compact and powerful
"BISWAJIT SARKAR, Varanasi",4.0 out of 5 stars,4.0•Nice product,"Reviewed in India on · Sep, 2024",Very good
"Flipkart Customer, Tiruppur District",4.0 out of 5 stars,4.0•Very Good,"Reviewed in India on · Dec, 2024",Good
"Jitender singh, Hisar",5.0 out of 5 stars,5.0•Wonderful,"Reviewed in India on · Sep, 2024",Very nice
"Ahmad  Mutsfa Raza, Harihar",4.0 out of 5 stars,4.0•Really Nice,"Reviewed in India on · Oct, 2024",product 👍 is good 😊
"Flipkart Customer, Cuncolim",5.0 out of 5 stars,5.0•Fabulous!,"Reviewed in India on · Jan, 2025","Very small and compact product, superfine quality and decent"
"Flipkart Customer, Nagapattinam District",4.0 out of 5 stars,4.0•Good choice,"Reviewed in India on · Nov, 2024",Yes good iam used this Product few days Excellent
"MONOJIT DUTTA, Madhyamgram",5.0 out of 5 stars,5.0•Highly recommended,"Reviewed in India on · Dec, 2024",Nice and cute look. Good purchase.
"Flipkart Customer, Srikakulam District",5.0 out of 5 stars,5.0•Fabulous!,"Reviewed in India on · Jul, 2024",Nice
"PANKAJ KUMAR CHAUDHARY, Mathura",4.0 out of 5 stars,4.0•Pretty good,"Reviewed in India on · Mar, 2025",It's good but it's range is about 200 to 250 meters. Otherwise it is good product u. An use it for personal indoor use....
"Flipkart Customer, Darjeeling",3.0 out of 5 stars,3.0•Decent product,Reviewed in India on Decent product,Just okay
"DINESH WAGHMARE, Bid District",4.0 out of 5 stars,4.0•Delightful,"Reviewed in India on · Feb, 2025",Good product
"Sai Eswar Reddy, Attilli",5.0 out of 5 stars,5.0•Brilliant,Reviewed in India on · 3 months ago,⭐⭐⭐⭐⭐ Good Product!  I bought this for my grandmother and it is very easy for her to use. The light is very bright and the battery backup is excellent. Only thing that needs improvement is the chargin...
"Flipkart Customer, Erode District",5.0 out of 5 stars,5.0•Perfect product!,"Reviewed in India on · Mar, 2025",Super
"Runu Sarkar, Dakshin Dinajpur District",5.0 out of 5 stars,5.0•Terrific purchase,"Reviewed in India on · Feb, 2025",Very good
"Salim Jawed, Amroha",5.0 out of 5 stars,5.0•Terrific purchase,"Reviewed in India on · Dec, 2024",All products are great of Eveready
"Rakesh Lodhi, Raisen",5.0 out of 5 stars,5.0•Wonderful,"Reviewed in India on · Jan, 2025",Superb quality ans awesome battery thank you flipkart.
"Harikant Vishwakarma, Ludhiana",4.0 out of 5 stars,4.0•Pretty good,"Reviewed in India on · Aug, 2024",Nice product powerfull light
"Flipkart Customer, Bangalore",4.0 out of 5 stars,4.0•Pretty good,"Reviewed in India on · Dec, 2024",Very nice torch
"Ramsingh Bohara, Pune",5.0 out of 5 stars,5.0•Worth every penny,"Reviewed in India on · Aug, 2024",Nice
"SUMANT MISHRA, Singrauli",5.0 out of 5 stars,5.0•Excellent,Reviewed in India on · 3 months ago,Good product 💯
"Satheesh Babu Babu, Thikkody",5.0 out of 5 stars,5.0•Great product,Reviewed in India on · 4 months ago,Wow with the quality and beauty of the torch... But mrp on the product is 265 and I had to pay 305....I could have bought it from any shop for 265 only
"Kamlesh  Kumar, Vindhya Nagar Ntpc Township",5.0 out of 5 stars,5.0•Super!,Reviewed in India on · 5 months ago,Design is good but battery backup little bit less as expected
